# columns: vPH vPHM JPH JPHM OmPH OmPHM  E(eV)  I  idxPH  idxPHM
0.001.00-1.00-1.000.001.001.000.000.50-0.500.50-1.001.001.00 0.3735433382  0.0001427254 
0.001.00-1.00-1.000.001.001.000.000.500.50-0.501.000.001.00 0.3735433382  0.0000634335 
0.001.000.000.000.001.002.000.000.50-0.500.50-1.001.001.00 0.3733130122  0.0000881885 
0.001.000.000.000.001.002.000.000.500.50-0.501.000.001.00 0.3733130122  0.0000881885 
0.001.001.001.000.000.001.000.000.50-0.500.50-1.001.001.00 0.3734665466  0.0000842857 
0.001.001.001.000.000.001.000.000.500.50-0.501.000.001.00 0.3734665466  0.0001896428 
0.001.00-1.00-1.000.001.001.000.002.50-0.500.50-1.001.002.00 0.3739258647  0.0000084576 
0.001.00-1.00-1.000.001.001.000.002.500.50-0.501.000.002.00 0.3739258647  0.0000190297 
0.001.00-1.00-1.000.001.001.000.002.501.500.501.000.001.00 0.3736963964  0.0000428175 
0.001.000.000.000.001.002.000.002.50-0.500.50-1.001.002.00 0.3736955387  0.0000470340 
0.001.000.000.000.001.002.000.002.500.50-0.501.000.002.00 0.3736955387  0.0000470340 
0.001.000.000.000.001.002.000.002.501.500.501.000.001.00 0.3734660705  0.0000470341 
0.001.000.000.000.001.002.000.002.50-1.50-0.50-1.001.001.00 0.3734660705  0.0000470341 
0.001.001.001.000.000.001.000.002.50-0.500.50-1.001.002.00 0.3738490731  0.0000252854 
0.001.001.001.000.000.001.000.002.500.50-0.501.000.002.00 0.3738490731  0.0000112380 
0.001.001.001.000.000.001.000.002.50-1.50-0.50-1.001.001.00 0.3736196049  0.0000568928 
0.002.00-1.00-1.000.001.001.000.000.50-0.500.50-1.001.001.00 0.3733130122  0.0000661414 
0.002.00-1.00-1.000.001.001.000.000.500.50-0.501.000.001.00 0.3733130122  0.0001488181 
0.002.000.000.000.000.002.000.000.50-0.500.50-1.001.001.00 0.3730828325  0.0000551838 
0.002.000.000.000.000.002.000.000.500.50-0.501.000.001.00 0.3730828325  0.0000551838 
0.002.001.001.000.000.001.000.000.50-0.500.50-1.001.001.00 0.3734665466  0.0001137857 
0.002.001.001.000.000.001.000.000.500.50-0.501.000.001.00 0.3734665466  0.0000505714 
0.002.00-1.00-1.000.001.001.000.002.50-0.500.50-1.001.002.00 0.3736955387  0.0000524933 
0.002.00-1.00-1.000.001.001.000.002.500.50-0.501.000.002.00 0.3736955387  0.0000524933 
0.002.00-1.00-1.000.001.001.000.002.501.500.501.000.001.00 0.3734660705  0.0000037329 
0.002.000.000.000.000.002.000.002.50-0.500.50-1.001.002.00 0.3734653589  0.0000088691 
0.002.000.000.000.000.002.000.002.500.50-0.501.000.002.00 0.3734653589  0.0000088691 
0.002.000.000.000.000.002.000.002.501.500.501.000.001.00 0.3732358907  0.0000630682 
0.002.000.000.000.000.002.000.002.50-1.50-0.50-1.001.001.00 0.3732358907  0.0000630682 
0.002.001.001.000.000.001.000.002.50-0.500.50-1.001.002.00 0.3738490731  0.0000401356 
0.002.001.001.000.000.001.000.002.500.50-0.501.000.002.00 0.3738490731  0.0000401356 
0.002.001.001.000.000.001.000.002.50-1.50-0.50-1.001.001.00 0.3736196049  0.0000028541 
0.003.00-1.00-1.000.001.001.000.002.50-0.500.50-1.001.002.00 0.3736955387  0.0000441469 
0.003.00-1.00-1.000.001.001.000.002.500.50-0.501.000.002.00 0.3736955387  0.0000015879 
0.003.00-1.00-1.000.001.001.000.002.501.500.501.000.001.00 0.3734660705  0.0000411549 
0.003.000.000.000.001.002.000.002.50-0.500.50-1.001.002.00 0.3731586798  0.0000168119 
0.003.000.000.000.001.002.000.002.500.50-0.501.000.002.00 0.3731586798  0.0000168119 
0.003.000.000.000.001.002.000.002.501.500.501.000.001.00 0.3729292116  0.0000259068 
0.003.000.000.000.001.002.000.002.50-1.50-0.50-1.001.001.00 0.3729292116  0.0000259068 
0.003.001.001.000.000.001.000.002.50-0.500.50-1.001.002.00 0.3734653589  0.0000019321 
0.003.001.001.000.000.001.000.002.500.50-0.501.000.002.00 0.3734653589  0.0000537162 
0.003.001.001.000.000.001.000.002.50-1.50-0.50-1.001.001.00 0.3732358907  0.0000500750 
0.003.00-1.00-1.000.001.001.000.004.50-0.500.50-1.001.002.00 0.3743830864  0.0000075462 
0.003.00-1.00-1.000.001.001.000.004.500.50-0.501.000.002.00 0.3743830864  0.0000226050 
0.003.00-1.00-1.000.001.001.000.004.501.500.501.000.001.00 0.3740012741  0.0000339106 
0.003.000.000.000.001.002.000.004.50-0.500.50-1.001.002.00 0.3738462275  0.0000258658 
0.003.000.000.000.001.002.000.004.500.50-0.501.000.002.00 0.3738462275  0.0000258658 
0.003.000.000.000.001.002.000.004.501.500.501.000.001.00 0.3734644152  0.0000129277 
0.003.000.000.000.001.002.000.004.50-1.50-0.50-1.001.001.00 0.3734644152  0.0000129277 
0.003.001.001.000.000.001.000.004.50-0.500.50-1.001.002.00 0.3741529066  0.0000275060 
0.003.001.001.000.000.001.000.004.500.50-0.501.000.002.00 0.3741529066  0.0000091822 
0.003.001.001.000.000.001.000.004.50-1.50-0.50-1.001.001.00 0.3737710943  0.0000412618 
